Ingredient,Calories,Protein,Fat,Saturated Fat,Monounsaturated Fat,Polyunsaturated Fat,Carbohydrates,Fiber,Sugars,Calcium,Iron,Magnesium,Phosphorus,Potassium,Sodium,Zinc,Copper,Manganese,Selenium,Vitamin A,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Thiamin,Riboflavin,Niacin,Vitamin B6,Folate,Vitamin B12,Pantothenic Acid,Choline,Omega-3 Fatty Acids,Omega-6 Fatty Acids,Cholesterol,Menu Type,Day,Meal
300 g fresh blueberries,171.0,2.22,0.99,0.084,0.141,0.438,43.47,7.2,29.88,18.0,0.84,18,36,231,3.0,0.48,0.171,1.008,0.3,162.0,29.1,0,1.71,57.9,0.111,0.123,1.254,0.156,18,0,0.372,18,N/A,N/A,0.0,Omnivore,Day 6,Snack
200 g soba noodles,198.0,10.12,0.2,0.038,0.052,0.062,42.88,,,8.0,0.96,18,50,70,120.0,0.24,0.016,0.748,N/A,0.0,0,0,N/A,N/A,0.188,0.052,1.02,0.08,14,0,0.47,N/A,N/A,N/A,0.0,Omnivore,Day 6,Lunch - Roasted Soba with Beef and Tamari Sauce
60 g beef,155.4,15.67,9.95,4.0692,4.4442,0.4398,0.0,0.0,0.0,7.8,1.32,12,108,162.6,30.0,3.06,0.045,0.0168,16.98,6.6,0,3.6,0.186,0.84,0.0408,0.1134,3.2748,0.2868,4.2,1.086,0.2778,49.98,0.0096,N/A,52.2,Omnivore,Day 6,Lunch - Roasted Soba with Beef and Tamari Sauce
1 small zucchini,19.5,1.48,0.47,0.0936,0.0377,0.1963,3.5,1.3,2.22,23.4,0.481,24.7,48.1,343.2,3.9,0.429,0.0676,0.2249,0.26,1452.1,16.77,0,0.156,5.46,0.0455,0.0312,0.663,0.104,36.4,0,0.3744,12.22,N/A,N/A,0.0,Omnivore,Day 6,Lunch - Roasted Soba with Beef and Tamari Sauce
1 clove garlic,4.47,0.19,0.02,0.0027,0.0003,0.0075,0.99,0.06,0.03,5.43,0.051,0.75,4.59,12.03,0.51,0.0348,0.009,0.0502,0.426,0.27,0.936,0,0.0024,0.051,0.006,0.0033,0.021,0.0371,0.09,0,0.0179,0.696,N/A,N/A,0.0,Omnivore,Day 6,Lunch - Roasted Soba with Beef and Tamari Sauce
1/2 tsp dry garlic,2.09,0.09,0.01,0.0013,0.0002,0.0035,0.46,0.03,0.01,2.534,0.0238,0.35,2.142,5.614,0.24,0.0162,0.0042,0.0234,0.1988,0.126,0.4368,0,0.0011,0.0238,0.0028,0.0015,0.0098,0.0173,0.042,0,0.0083,0.3248,N/A,N/A,0.0,Omnivore,Day 6,Lunch - Roasted Soba with Beef and Tamari Sauce
1/3 tsp dry chili,1.95,0.12,0.12,0.0372,0.0407,0.0083,0.1,0.01,0.02,0.495,0.0332,0.33,1.2705,3.0525,6.78,0.0185,0.0031,0.0046,0.1073,4.4715,0.0297,0.0495,0.0097,0.0363,0.0005,0.0018,0.0205,0.0021,0.132,0.0168,0.0026,0.6963,N/A,N/A,0.35,Omnivore,Day 6,Lunch - Roasted Soba with Beef and Tamari Sauce
2.5 tbsp tamari sauce,27.0,4.73,0.05,0.005,0.0077,0.0198,2.51,0.36,0.77,9.0,1.071,18,58.5,95.4,2513.7,0.1935,0.0608,0.2246,0.36,0.0,0,0,0,0,0.0266,0.0684,1.778,0.09,8.1,0,0.1692,17.28,N/A,N/A,0.0,Omnivore,Day 6,Lunch - Roasted Soba with Beef and Tamari Sauce
1 tbsp oyster sauce,9.18,0.24,0.05,0.0077,0.0131,0.0119,1.97,0.05,0.0,5.76,0.0324,0.72,3.96,9.72,491.94,0.0162,0.0265,0.0095,0.792,0.0,0.018,0,0,0,0.0018,0.0223,0.2653,0.0029,2.7,0.0738,0.0029,0.63,N/A,N/A,0.0,Omnivore,Day 6,Lunch - Roasted Soba with Beef and Tamari Sauce
1/2 tsp unrefined sugar,8.13,0.0,0.0,0,0,0,2.1,0.0,2.1,0.021,0.0011,0,0,0.042,0.02,0.0002,0.0002,0.0001,0.0126,0.0,0,0,0,0,0,0.0004,0,0,0,0,0,0,N/A,N/A,0.0,Omnivore,Day 6,Lunch - Roasted Soba with Beef and Tamari Sauce
1 tbsp coconut oil,121.31,0.0,13.47,11.2166,0.8612,0.2315,0.0,0.0,0.0,0.136,0.0068,0,0,0,0.0,0.0027,0,0,0,0.0,0,0,0.015,0.0816,0,0,0,0,0,0,0,0.0408,0.0026,0,0.0,Omnivore,Day 6,Lunch - Roasted Soba with Beef and Tamari Sauce
1/2 egg,35.75,3.14,2.38,0.7815,0.9145,0.4778,0.18,0.0,0.09,14.0,0.4375,3,49.5,34.5,35.5,0.3225,0.018,0.007,7.675,135.0,0,20.5,0.2625,0.075,0.01,0.1143,0.0188,0.0425,11.75,0.2225,0.3833,73.45,0.009,0.0003,93.0,Omnivore,Day 6,Lunch - Roasted Soba with Beef and Tamari Sauce
6 spears asparagus,19.8,2.16,0.2,0.0432,0,0.0945,3.7,1.8,1.17,20.7,0.819,12.6,48.6,201.6,12.6,0.54,0.1485,0.1386,5.49,905.4,6.93,0,1.35,45.54,0.1458,0.1251,0.9756,0.0711,134.1,0,0.2025,23.49,N/A,N/A,0.0,Omnivore,Day 6,Supper - Mackerel Grill with Scandinavian Marinade and Asparagus
10 ml olive oil,80.71,0.0,9.13,1.2606,6.6611,0.9607,0.0,0.0,0.0,0.0913,0.0511,0,0,0.0913,0.18,0,0,0,0,0.0,0,0,1.3101,5.496,0,0,0,0,0,0,0,0.0274,N/A,N/A,0.0,Omnivore,Day 6,Supper - Mackerel Grill with Scandinavian Marinade and Asparagus
1 clove garlic,4.47,0.19,0.02,0.0027,0.0003,0.0075,0.99,0.06,0.03,5.43,0.051,0.75,4.59,12.03,0.51,0.0348,0.009,0.0502,0.426,0.27,0.936,0,0.0024,0.051,0.006,0.0033,0.021,0.0371,0.09,0,0.0179,0.696,N/A,N/A,0.0,Omnivore,Day 6,Supper - Mackerel Grill with Scandinavian Marinade and Asparagus
1 mackerel,230.56,20.99,15.67,3.6749,6.1653,3.784,0.0,0.0,,13.2,1.3816,85.36,244.64,352.88,73.04,0.8272,0.0827,0.0176,45.408,158.4,0.352,N/A,N/A,N/A,0.1399,0.3626,6.028,0.4048,1.76,16.72,0.8712,N/A,N/A,N/A,66.0,Omnivore,Day 6,Supper - Mackerel Grill with Scandinavian Marinade and Asparagus
1-5 tbsp sweet mustard,45.84,2.86,2.55,0.1635,1.6672,0.5914,4.45,3.06,0.7,48.1359,1.2301,36.675,82.5188,116.1375,843.53,0.489,0.0565,0.3224,25.5961,83.2828,0.2292,0,0.2751,1.0697,0.1352,0.0535,0.4317,0.0535,5.3484,0,0.1941,17.115,0.285,0.0138,0.0,Omnivore,Day 6,Supper - Mackerel Grill with Scandinavian Marinade and Asparagus
1/2 bunch dill,0.04,0.0,0.0,0.0001,0.0008,0.0001,0.01,0.0,,0.208,0.0066,0.055,0.066,0.738,0.06,0.0009,0.0002,0.0013,N/A,7.718,0.085,0,N/A,N/A,0.0001,0.0003,0.0016,0.0002,0.15,0,0.0004,N/A,N/A,N/A,0.0,Omnivore,Day 6,Supper - Mackerel Grill with Scandinavian Marinade and Asparagus
1 lemon,24.36,0.92,0.25,0.0328,0.0092,0.0748,7.83,2.35,2.1,21.84,0.504,6.72,13.44,115.92,1.68,0.0504,0.0311,0.0252,0.336,18.48,44.52,0,0.126,0,0.0336,0.0168,0.084,0.0672,9.24,0,0.1596,4.284,N/A,N/A,0.0,Omnivore,Day 6,Supper - Mackerel Grill with Scandinavian Marinade and Asparagus
pinch salt,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0819,0.0011,0.0034,0,0.0273,132.18,0.0003,0.0001,0.0003,0.0003,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0.0,Omnivore,Day 6,Supper - Mackerel Grill with Scandinavian Marinade and Asparagus
1 g ground black pepper,2.51,0.1,0.03,0.0139,0.0074,0.01,0.64,0.25,0.01,4.43,0.0971,1.71,1.58,13.29,0.2,0.0119,0.0133,0.1275,0.049,5.47,0,0,0.0104,1.637,0.0011,0.0018,0.0114,0.0029,0.17,0,0.014,0.113,0.0015,N/A,0.0,Omnivore,Day 6,Supper - Mackerel Grill with Scandinavian Marinade and Asparagus
3 eggs,214.5,18.84,14.27,4.689,5.487,2.8665,1.08,0.0,0.56,84.0,2.625,18,297,207,213.0,1.935,0.108,0.042,46.05,810.0,0,123,1.575,0.45,0.06,0.6855,0.1125,0.255,70.5,1.335,2.2995,440.7,0.054,0.0015,558.0,Omnivore,Day 7,Breakfast - Classic Omelet
50 ml milk,25.78,1.7,1.02,0.6482,0.2888,0.0376,2.48,0.0,2.61,61.8787,0.0103,5.6722,47.4403,72.1918,24.24,0.2475,0.0031,0.0072,1.2891,97.9746,0.1031,25.2671,0.0155,0.1031,0.0201,0.0954,0.0474,0.0196,2.5783,0.2733,0.1836,8.4568,0.0041,N/A,4.13,Omnivore,Day 7,Breakfast - Classic Omelet
15 g butter,107.55,0.13,12.17,7.7052,3.1532,0.4565,0.01,0.0,0.01,3.6,0.003,0.3,3.6,3.6,96.45,0.0135,0,0,0.15,374.85,0,0,0.348,1.05,0.0008,0.0051,0.0063,0.0005,0.45,0.0255,0.0165,2.82,0.0473,N/A,32.25,Omnivore,Day 7,Breakfast - Classic Omelet
1 g ground black pepper,2.51,0.1,0.03,0.0139,0.0074,0.01,0.64,0.25,0.01,4.43,0.0971,1.71,1.58,13.29,0.2,0.0119,0.0133,0.1275,0.049,5.47,0,0,0.0104,1.637,0.0011,0.0018,0.0114,0.0029,0.17,0,0.014,0.113,0.0015,N/A,0.0,Omnivore,Day 7,Breakfast - Classic Omelet
1 slice whole wheat bread,80.64,3.98,1.12,0.231,0.1984,0.5094,13.67,1.92,1.39,51.52,0.7904,24,67.84,81.28,145.6,0.5664,0.0726,0.6957,8.224,0.96,0,0,0.8512,2.496,0.1261,0.0534,1.4202,0.0688,13.44,0,0.2067,8.704,0.0438,0.0003,0.0,Omnivore,Day 7,Breakfast - Classic Omelet
10 g raw almonds,57.9,2.12,4.99,0.3802,3.1551,1.2329,2.15,1.25,0.44,26.9,0.371,27,48.1,73.3,0.1,0.312,0.1031,0.2179,0.41,0.2,0,0,2.563,0,0.0205,0.1138,0.3618,0.0137,4.4,0,0.0471,5.21,0.0003,N/A,0.0,Omnivore,Day 7,Snack
10 g raw cashew,55.3,1.82,4.39,0.7783,2.3797,0.7845,3.02,0.33,0.59,3.7,0.668,29.2,59.3,66,1.2,0.578,0.2195,0.1655,1.99,0.0,0.05,0,0.09,3.41,0.0423,0.0058,0.1062,0.0417,2.5,0,0.0864,N/A,N/A,N/A,0.0,Omnivore,Day 7,Snack
300 g raspberries,156.0,3.6,1.95,0.057,0.192,1.125,35.82,19.5,13.26,75.0,2.07,66,87,453,3.0,1.26,0.27,2.01,0.6,99.0,78.6,0,2.61,23.4,0.096,0.114,1.794,0.165,63,0,0.987,36.9,N/A,N/A,0.0,Omnivore,Day 7,Snack
1/2 lemon,12.18,0.46,0.13,0.0164,0.0046,0.0374,3.91,1.18,1.05,10.92,0.252,3.36,6.72,57.96,0.84,0.0252,0.0155,0.0126,0.168,9.24,22.26,0,0.063,0,0.0168,0.0084,0.042,0.0336,4.62,0,0.0798,2.142,N/A,N/A,0.0,Omnivore,Day 7,Lunch - Spaghetti with Chili and Shrimp
2 fresh chiles,36.0,1.68,0.4,0.0378,0.0216,0.2151,7.93,1.35,4.77,12.6,0.927,20.7,38.7,289.8,8.1,0.234,0.1161,0.1683,0.45,856.8,129.33,0,0.621,12.6,0.0648,0.0774,1.1196,0.4554,20.7,0,0.1809,9.81,N/A,N/A,0.0,Omnivore,Day 7,Lunch - Spaghetti with Chili and Shrimp
1 clove garlic,4.47,0.19,0.02,0.0027,0.0003,0.0075,0.99,0.06,0.03,5.43,0.051,0.75,4.59,12.03,0.51,0.0348,0.009,0.0502,0.426,0.27,0.936,0,0.0024,0.051,0.006,0.0033,0.021,0.0371,0.09,0,0.0179,0.696,N/A,N/A,0.0,Omnivore,Day 7,Lunch - Spaghetti with Chili and Shrimp
sea salt and freshly ground black pepper,0.72,0.03,0.01,0.004,0.0021,0.0029,0.18,0.07,0.0,1.4596,0.0305,0.5004,0.4553,3.8911,295.49,0.0042,0.0041,0.0375,0.0149,1.5764,0,0,0.003,0.4718,0.0003,0.0005,0.0033,0.0008,0.049,0,0.004,0.0326,0.0004,N/A,0.0,Omnivore,Day 7,Lunch - Spaghetti with Chili and Shrimp
200 g spaghetti,300.51,10.56,1.22,0.2244,0.1385,0.4568,60.48,2.59,2.16,20.58,2.673,44.12,153.09,180.63,9.62,1.154,0.246,0.7428,51.192,0.0,0,0,0.0891,0.081,0.7217,0.324,5.8134,0.115,191.97,0,0.3491,12.231,0.0194,N/A,0.0,Omnivore,Day 7,Lunch - Spaghetti with Chili and Shrimp
200 g prawns,238.0,45.56,3.4,1.042,0.722,1.18,3.04,0.0,0.0,182.0,0.64,74,612,340,1894.0,3.26,0.516,0.098,99,602.0,0,8,4.4,0.8,0.064,0.048,5.356,0.484,48,3.32,1.038,270.8,N/A,N/A,422.0,Omnivore,Day 7,Lunch - Spaghetti with Chili and Shrimp
100 ml tomato paste,90.34,4.76,0.52,0.1102,0.0738,0.1763,20.83,4.52,13.42,39.6632,3.2832,46.2738,91.4458,1117.1806,65.0,0.6941,0.4021,0.3327,5.8393,1680.178,24.1285,0,4.7376,12.56,0.0661,0.1686,3.389,0.238,13.2211,0,0.1565,42.4176,N/A,N/A,0.0,Omnivore,Day 7,Lunch - Spaghetti with Chili and Shrimp
1/2 cup millet,103.53,3.05,0.87,0.1496,0.1601,0.442,20.59,1.13,0.11,2.61,0.5481,38.28,87,53.94,1.74,0.7917,0.1401,0.2366,0.783,2.61,0,0,0.0174,0.261,0.0922,0.0713,1.1571,0.094,16.53,0,0.1488,9.744,N/A,N/A,0.0,Omnivore,Day 7,Supper - Millet with Anchovies and Parmesan
2 tbsp grated Parmesan,42.0,2.84,2.78,1.5371,0.713,0.1386,1.39,0.0,0.01,85.3,0.049,3.4,62.7,18,180.4,0.42,0.004,0.0071,3.44,97.4,0,2.1,0.053,0.17,0.0026,0.0358,0.008,0.0081,0.6,0.14,0.045,1.41,0.0102,0.0002,8.6,Omnivore,Day 7,Supper - Millet with Anchovies and Parmesan
15 pcs anchovies,126.0,17.33,5.83,1.3218,2.262,1.5372,0.0,0.0,0.0,139.2,2.778,41.4,151.2,326.4,2200.8,1.464,0.2034,0.06,40.86,24.0,0,41.4,1.998,7.26,0.0468,0.2178,11.9418,0.1218,7.8,0.528,0.5454,51,N/A,N/A,51.0,Omnivore,Day 7,Supper - Millet with Anchovies and Parmesan
5 ml olive oil,40.35,0.0,4.56,0.6303,3.3305,0.4804,0.0,0.0,0.0,0.0457,0.0256,0,0,0.0457,0.09,0,0,0,0,0.0,0,0,0.6551,2.748,0,0,0,0,0,0,0,0.0137,N/A,N/A,0.0,Omnivore,Day 7,Supper - Millet with Anchovies and Parmesan
1 tbsp capers,1.98,0.2,0.07,0.02,0.0054,0.0261,0.42,0.28,0.04,3.44,0.1436,2.838,0.86,3.44,201.93,0.0275,0.0322,0.0067,0.1032,11.868,0.3698,0,0.0757,2.1156,0.0016,0.012,0.0561,0.002,1.978,0,0.0023,0.559,N/A,N/A,0.0,Omnivore,Day 7,Supper - Millet with Anchovies and Parmesan
1/2 head cauliflower,64.4,5.15,1.26,0.196,0.0896,0.6076,11.51,6.44,5.82,44.8,0.896,25.2,89.6,397.6,42.0,0.476,0.0504,0.3696,1.68,33.6,124.04,0,0.196,38.64,0.1176,0.1456,1.148,0.4844,123.2,0,1.4224,109.48,N/A,N/A,0.0,Vegetarian,Day 4,Breakfast - Cauliflower Frittata
1/2 fennel bulb,13.49,0.54,0.09,0.0392,0.0296,0.0735,3.18,1.35,1.71,21.315,0.3176,7.395,21.75,180.09,22.62,0.087,0.0287,0.0831,0.3045,418.905,5.22,0,0.2523,27.318,0.0044,0.0139,0.2784,0.0205,11.745,0,0.1009,5.742,N/A,N/A,0.0,Vegetarian,Day 4,Breakfast - Cauliflower Frittata
10 ml olive oil,80.71,0.0,9.13,1.2606,6.6611,0.9607,0.0,0.0,0.0,0.0913,0.0511,0,0,0.0913,0.18,0,0,0,0,0.0,0,0,1.3101,5.496,0,0,0,0,0,0,0,0.0274,N/A,N/A,0.0,Vegetarian,Day 4,Breakfast - Cauliflower Frittata
pinch freshly ground black pepper,0.33,0.01,0.0,0.0018,0.001,0.0013,0.08,0.03,0.0,0.5745,0.0126,0.2218,0.2049,1.7236,0.03,0.0015,0.0017,0.0165,0.0064,0.7094,0,0,0.0014,0.2123,0.0001,0.0002,0.0015,0.0004,0.0221,0,0.0018,0.0147,0.0002,N/A,0.0,Vegetarian,Day 4,Breakfast - Cauliflower Frittata
3 eggs,214.5,18.84,14.27,4.689,5.487,2.8665,1.08,0.0,0.56,84.0,2.625,18,297,207,213.0,1.935,0.108,0.042,46.05,810.0,0,123,1.575,0.45,0.06,0.6855,0.1125,0.255,70.5,1.335,2.2995,440.7,0.054,0.0015,558.0,Vegetarian,Day 4,Breakfast - Cauliflower Frittata
1 slice whole wheat bread,80.64,3.98,1.12,0.231,0.1984,0.5094,13.67,1.92,1.39,51.52,0.7904,24,67.84,81.28,145.6,0.5664,0.0726,0.6957,8.224,0.96,0,0,0.8512,2.496,0.1261,0.0534,1.4202,0.0688,13.44,0,0.2067,8.704,0.0438,0.0003,0.0,Vegetarian,Day 4,Breakfast - Cauliflower Frittata
20 g raw almonds,115.8,4.23,9.99,0.7604,6.3102,2.4658,4.31,2.5,0.87,53.8,0.742,54,96.2,146.6,0.2,0.624,0.2062,0.4358,0.82,0.4,0,0,5.126,0,0.041,0.2276,0.7236,0.0274,8.8,0,0.0942,10.42,0.0006,N/A,0.0,Vegetarian,Day 4,Snack
400 g black currant,252.0,5.6,1.64,0.136,0.232,0.716,61.52,,,220.0,6.16,96,236,1288,8.0,1.08,0.344,1.024,N/A,920.0,724,N/A,4,N/A,0.2,0.2,1.2,0.264,N/A,0,1.592,N/A,N/A,N/A,0.0,Vegetarian,Day 4,Snack
180 g dry quinoa pasta,273.6,5.81,3.73,0.2736,1.1934,1.7046,56.0,5.94,0.54,12.6,1.296,73.8,163.8,113.4,7.2,1.26,0.1152,0.3708,3.96,19.8,0,0,0.414,0,0.216,0.1674,0.81,0.09,14.4,0,0.378,10.44,0.0576,0,0.0,Vegetarian,Day 4,Lunch - Gluten-Free Pasta with Pasata
200 g tomatoes,36.0,1.76,0.4,0.056,0.062,0.166,7.78,2.4,5.26,20.0,0.54,22,48,474,10.0,0.34,0.118,0.228,0,1666.0,27.4,0,1.08,15.8,0.074,0.038,1.188,0.16,30,0,0.178,13.4,N/A,N/A,0.0,Vegetarian,Day 4,Lunch - Gluten-Free Pasta with Pasata
3 cloves garlic,13.41,0.57,0.05,0.008,0.001,0.0224,2.98,0.19,0.09,16.29,0.153,2.25,13.77,36.09,1.53,0.1044,0.0269,0.1505,1.278,0.81,2.808,0,0.0072,0.153,0.018,0.0099,0.063,0.1112,0.27,0,0.0536,2.088,N/A,N/A,0.0,Vegetarian,Day 4,Lunch - Gluten-Free Pasta with Pasata
10 ml chili olive oil,11.97,0.76,0.72,0.2288,0.2505,0.0508,0.62,0.05,0.11,3.0432,0.2039,2.0288,7.8109,18.7665,41.69,0.1136,0.0191,0.028,0.6594,27.4904,0.1826,0.3043,0.0599,0.2232,0.0032,0.0113,0.1263,0.0131,0.8115,0.1035,0.0159,4.2808,N/A,N/A,2.13,Vegetarian,Day 4,Lunch - Gluten-Free Pasta with Pasata
3 tbsp nutritional yeast,83.69,11.44,1.76,0.2487,0.9743,0.0128,9.46,6.15,0.0,20.82,0.5222,18,182.955,229.875,16.16,1.9719,0.0996,0.0702,2.5785,0.0,0.0675,0,0,0.09,2.491,0.9605,9.0791,0.3557,527.49,0.0893,3.203,13.92,N/A,N/A,0.48,Vegetarian,Day 4,Lunch - Gluten-Free Pasta with Pasata
500 g pumpkin,100.0,3.6,0.35,0.185,0.045,0.02,24.5,5.5,10.4,75.0,2.85,45,150,1150,5.0,1.15,0.455,0.445,1,28775.0,23.5,0,4,4,0.155,0.39,2.065,0.22,45,0,1.005,31,N/A,N/A,0.0,Vegetarian,Day 4,Supper - Quick Pumpkin Soup
1 small shallot,30.62,1.06,0.04,0.0072,0.006,0.0166,7.15,1.36,3.35,15.7361,0.5104,8.9313,25.518,142.0502,5.1,0.1701,0.0374,0.1242,0.5104,1.7012,3.4024,0,0.017,0.3402,0.0255,0.0085,0.0851,0.1467,14.4602,0,0.1233,4.8059,N/A,N/A,0.0,Vegetarian,Day 4,Supper - Quick Pumpkin Soup
15 g ginger,12.0,0.27,0.11,0.0305,0.0231,0.0231,2.67,0.3,0.26,2.4,0.09,6.45,5.1,62.25,1.95,0.051,0.0339,0.0344,0.105,0.0,0.75,0,0.039,0.015,0.0038,0.0051,0.1125,0.024,1.65,0,0.0305,4.32,N/A,N/A,0.0,Vegetarian,Day 4,Supper - Quick Pumpkin Soup
60 ml coconut milk,114.66,1.18,12.41,11.0088,0.5279,0.1356,1.64,,,10.4763,1.9207,26.7727,55.8734,128.0432,7.57,0.3259,0.1298,0.447,N/A,0.0,0.582,0,N/A,N/A,0.0128,0,0.3707,0.0163,8.1482,0,0.0891,4.9471,N/A,N/A,0.0,Vegetarian,Day 4,Supper - Quick Pumpkin Soup
pinch chili,0.37,0.02,0.02,0.0071,0.0077,0.0016,0.02,0.0,0.0,0.0938,0.0063,0.0625,0.2406,0.5781,1.28,0.0035,0.0006,0.0009,0.0203,0.8469,0.0056,0.0094,0.0018,0.0069,0.0001,0.0004,0.0039,0.0004,0.025,0.0032,0.0005,0.1319,N/A,N/A,0.07,Vegetarian,Day 4,Supper - Quick Pumpkin Soup
15 g pumpkin seeds,66.9,2.78,2.91,0.5505,0.9048,1.3266,8.06,2.76,,8.25,0.4965,39.3,13.8,137.85,2.7,1.545,0.1035,0.0744,N/A,9.3,0.045,0,N/A,N/A,0.0051,0.0078,0.0429,0.0056,1.35,0,0.0084,N/A,N/A,N/A,0.0,Vegetarian,Day 4,Supper - Quick Pumpkin Soup
3 eggs,214.5,18.84,14.27,4.689,5.487,2.8665,1.08,0.0,0.56,84.0,2.625,18,297,207,213.0,1.935,0.108,0.042,46.05,810.0,0,123,1.575,0.45,0.06,0.6855,0.1125,0.255,70.5,1.335,2.2995,440.7,0.054,0.0015,558.0,Vegetarian,Day 5,Breakfast - Frittata with Leeks and Zucchini
1 g ground black pepper,2.51,0.1,0.03,0.0139,0.0074,0.01,0.64,0.25,0.01,4.43,0.0971,1.71,1.58,13.29,0.2,0.0119,0.0133,0.1275,0.049,5.47,0,0,0.0104,1.637,0.0011,0.0018,0.0114,0.0029,0.17,0,0.014,0.113,0.0015,N/A,0.0,Vegetarian,Day 5,Breakfast - Frittata with Leeks and Zucchini
1/2 tbsp butter,50.91,0.06,5.76,3.6471,1.4925,0.2161,0.0,0.0,0.0,1.704,0.0014,0.142,1.704,1.704,45.65,0.0064,0,0,0.071,177.429,0,0,0.1647,0.497,0.0004,0.0024,0.003,0.0002,0.213,0.0121,0.0078,1.3348,0.0224,N/A,15.27,Vegetarian,Day 5,Breakfast - Frittata with Leeks and Zucchini
5 ml olive oil,40.35,0.0,4.56,0.6303,3.3305,0.4804,0.0,0.0,0.0,0.0457,0.0256,0,0,0.0457,0.09,0,0,0,0,0.0,0,0,0.6551,2.748,0,0,0,0,0,0,0,0.0137,N/A,N/A,0.0,Vegetarian,Day 5,Breakfast - Frittata with Leeks and Zucchini
1 stalk leek,38.44,1.0,0.25,0.0335,0.0037,0.1376,9.45,1.24,2.62,37.2,1.364,17.36,21.08,107.88,12.4,0.0744,0.0769,0.3063,0.62,1006.88,5.208,0,0.62,31.496,0.0322,0.0248,0.248,0.1401,29.76,0,0.0893,N/A,N/A,N/A,0.0,Vegetarian,Day 5,Breakfast - Frittata with Leeks and Zucchini
200 g zucchini,30.0,2.28,0.72,0.144,0.058,0.302,5.38,2.0,3.42,36.0,0.74,38,74,528,6.0,0.66,0.104,0.346,0.4,2234.0,25.8,0,0.24,8.4,0.07,0.048,1.02,0.16,56,0,0.576,18.8,N/A,N/A,0.0,Vegetarian,Day 5,Breakfast - Frittata with Leeks and Zucchini
15 g green basil,3.45,0.47,0.1,0.0062,0.0132,0.0584,0.4,0.24,0.05,26.55,0.4755,9.6,8.4,44.25,0.6,0.1215,0.0578,0.1722,0.045,791.25,2.7,0,0.12,62.22,0.0051,0.0114,0.1353,0.0233,10.2,0,0.0314,1.71,N/A,N/A,0.0,Vegetarian,Day 5,Breakfast - Frittata with Leeks and Zucchini
10 g raw almonds,57.9,2.12,4.99,0.3802,3.1551,1.2329,2.15,1.25,0.44,26.9,0.371,27,48.1,73.3,0.1,0.312,0.1031,0.2179,0.41,0.2,0,0,2.563,0,0.0205,0.1138,0.3618,0.0137,4.4,0,0.0471,5.21,0.0003,N/A,0.0,Vegetarian,Day 5,Snack
10 g raw cashew,55.3,1.82,4.39,0.7783,2.3797,0.7845,3.02,0.33,0.59,3.7,0.668,29.2,59.3,66,1.2,0.578,0.2195,0.1655,1.99,0.0,0.05,0,0.09,3.41,0.0423,0.0058,0.1062,0.0417,2.5,0,0.0864,N/A,N/A,N/A,0.0,Vegetarian,Day 5,Snack
400 g fresh strawberries,128.0,2.68,1.2,0.06,0.172,0.62,30.72,8.0,19.56,64.0,1.64,52,96,612,4.0,0.56,0.192,1.544,1.6,48.0,235.2,0,1.16,8.8,0.096,0.088,1.544,0.188,96,0,0.5,22.8,N/A,N/A,0.0,Vegetarian,Day 5,Snack
250 g gluten-free pasta,315.0,6.58,1.83,0.255,0.4775,0.8125,69.78,12.0,,2.5,0.625,90,190,77.5,0.0,1.575,0.16,0.3825,7,142.5,0,N/A,N/A,N/A,0.1325,0.0575,1.39,0.145,15,0,0.32,N/A,N/A,N/A,0.0,Vegetarian,Day 5,Lunch - Pasta Aglio Olio
salt,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.36,0.005,0.015,0,0.12,581.37,0.0015,0.0005,0.0015,0.0015,0.0,0,0,0,0,0,0,0,0,0,0,0,0,N/A,N/A,0.0,Vegetarian,Day 5,Lunch - Pasta Aglio Olio
15 ml olive oil,121.06,0.0,13.69,1.8909,9.9916,1.4411,0.0,0.0,0.0,0.137,0.0767,0,0,0.137,0.27,0,0,0,0,0.0,0,0,1.9652,8.2441,0,0,0,0,0,0,0,0.0411,N/A,N/A,0.0,Vegetarian,Day 5,Lunch - Pasta Aglio Olio
2 cloves garlic,8.94,0.38,0.03,0.0053,0.0007,0.0149,1.98,0.13,0.06,10.86,0.102,1.5,9.18,24.06,1.02,0.0696,0.0179,0.1003,0.852,0.54,1.872,0,0.0048,0.102,0.012,0.0066,0.042,0.0741,0.18,0,0.0358,1.392,N/A,N/A,0.0,Vegetarian,Day 5,Lunch - Pasta Aglio Olio
1 cup quinoa,222.0,8.14,3.55,0.4274,0.9768,1.9943,39.41,5.18,1.61,31.45,2.7565,118.4,281.2,318.2,12.95,2.0165,0.3552,1.1674,5.18,9.25,0,0,1.1655,0,0.198,0.2035,0.7622,0.2276,77.7,0,N/A,42.55,N/A,N/A,0.0,Vegetarian,Day 5,Supper - Quinoa Salad
1 avocado,321.6,4.02,29.47,4.2733,19.696,3.6502,17.15,13.47,1.33,24.12,1.1055,58.29,104.52,974.85,14.07,1.2864,0.3819,0.2854,0.804,293.46,20.1,0,4.1607,42.21,0.1347,0.2613,3.4934,0.5166,162.81,0,2.7919,28.542,0.2231,N/A,0.0,Vegetarian,Day 5,Supper - Quinoa Salad
